Product_ID,Product_Category,Product_Line,Region_ID,Region,Model,evaluation_start,evaluation_end,observation_count,evaluated_months,actual_demand,forecast_demand,absolute_error_sum,squared_error_sum,error_sum,mae,rmse,wape_pct,mean_bias,forecast_bias_pct,overforecast_count,underforecast_count
P001,Battery System,EV Component,R01,North America,Random Forest,2025-07-01,2025-12-01,6,6,54824.0,46974.67141160987,16305.616515442618,63078676.619702235,-7849.3285883901335,2717.6027525737695,3242.393062222773,29.74174907967791,-1308.2214313983557,-14.31732195460042,3,3
P001,Battery System,EV Component,R01,North America,Seasonal Naive,2025-07-01,2025-12-01,6,6,54824.0,65518.0,21792.0,117416720.0,10694.0,3632.0,4423.737484676654,39.749015029913906,1782.3333333333333,19.506055742010798,4,2
P001,Battery System,EV Component,R01,North America,Naive Forecast,2025-07-01,2025-12-01,6,6,54824.0,48761.0,26103.0,151876217.0,-6063.0,4350.5,5031.173107072876,47.6123595505618,-1010.5,-11.059025244418503,3,3
P001,Battery System,EV Component,R02,Europe,Seasonal Naive,2025-07-01,2025-12-01,6,6,73775.0,74550.0,11287.0,24923691.0,775.0,1881.1666666666667,2038.1237695488467,15.299220603185361,129.16666666666666,1.0504913588614029,3,3
P001,Battery System,EV Component,R02,Europe,Random Forest,2025-07-01,2025-12-01,6,6,73775.0,77069.55758829165,17635.468449544205,65624780.91127605,3294.557588291651,2939.244741590701,3307.1836183091914,23.904396407379473,549.0929313819419,4.465682939060184,3,3
P001,Battery System,EV Component,R02,Europe,Naive Forecast,2025-07-01,2025-12-01,6,6,73775.0,71185.0,24608.0,134040262.0,-2590.0,4101.333333333333,4726.525538560716,33.35547272111149,-431.6666666666667,-3.5106743476787527,3,3
P001,Battery System,EV Component,R03,Asia,Random Forest,2025-07-01,2025-12-01,6,6,47145.0,46004.38765167176,26456.130234614386,167461278.0582979,-1140.6123483282418,4409.355039102397,5283.0117366627455,56.11651338342218,-190.10205805470696,-2.419370767479567,3,3
P001,Battery System,EV Component,R03,Asia,Seasonal Naive,2025-07-01,2025-12-01,6,6,47145.0,41131.0,27576.0,210928980.0,-6014.0,4596.0,5929.150866692465,58.49188673242126,-1002.3333333333334,-12.756389861066921,2,4
P001,Battery System,EV Component,R03,Asia,Naive Forecast,2025-07-01,2025-12-01,6,6,47145.0,48140.0,29751.0,255483821.0,995.0,4958.5,6525.384037229789,63.10531339484569,165.83333333333334,2.1105101283275003,4,2
P001,Battery System,EV Component,R04,South America,Seasonal Naive,2025-07-01,2025-12-01,6,6,101454.0,93130.0,23728.0,142603078.0,-8324.0,3954.6666666666665,4875.15945038382,23.387939361681156,-1387.3333333333333,-8.204703609517614,2,4
P001,Battery System,EV Component,R04,South America,Random Forest,2025-07-01,2025-12-01,6,6,101454.0,82614.94821472673,26497.216318542603,234983582.63269362,-18839.051785273274,4416.202719757101,6258.109174405818,26.117468329038385,-3139.841964212212,-18.569057686511396,2,4
P001,Battery System,EV Component,R04,South America,Naive Forecast,2025-07-01,2025-12-01,6,6,101454.0,88082.0,37980.0,373731802.0,-13372.0,6330.0,7892.314848424806,37.43568513809214,-2228.6666666666665,-13.180357600488891,2,4
P002,Powertrain,Automotive Component,R01,North America,Random Forest,2025-07-01,2025-12-01,6,6,39701.0,40915.97899853285,11686.279345554918,35503203.7070711,1214.9789985328562,1947.713224259153,2432.529674607318,29.435730448993525,202.49649975547604,3.060323413850674,3,3
P002,Powertrain,Automotive Component,R01,North America,Naive Forecast,2025-07-01,2025-12-01,6,6,39701.0,39961.0,16292.0,59359182.0,260.0,2715.3333333333335,3145.3452910610627,41.03674970403768,43.333333333333336,0.6548953426865822,2,4
P002,Powertrain,Automotive Component,R01,North America,Seasonal Naive,2025-07-01,2025-12-01,6,6,39701.0,58998.0,24857.0,175507501.0,19297.0,4142.833333333333,5408.442489910258,62.61051358907836,3216.1666666666665,48.60582856854991,4,2
P002,Powertrain,Automotive Component,R02,Europe,Random Forest,2025-07-01,2025-12-01,6,6,45737.0,57288.56151097404,20799.997977735227,98919815.96145871,11551.561510974037,3466.666329622538,4060.37387362007,45.47739899367083,1925.2602518290062,25.256491486048578,4,2
P002,Powertrain,Automotive Component,R02,Europe,Naive Forecast,2025-07-01,2025-12-01,6,6,45737.0,41738.0,22063.0,87688453.0,-3999.0,3677.1666666666665,3822.923248859002,48.23884382447471,-666.5,-8.743468089293133,2,4
P002,Powertrain,Automotive Component,R02,Europe,Seasonal Naive,2025-07-01,2025-12-01,6,6,45737.0,63529.0,27494.0,158233386.0,17792.0,4582.333333333333,5135.39005334551,60.1132562258128,2965.3333333333335,38.9006712289831,5,1
P002,Powertrain,Automotive Component,R03,Asia,Random Forest,2025-07-01,2025-12-01,6,6,41481.0,42561.29972809471,10482.735018584557,36869188.01357177,1080.2997280947084,1747.1225030974263,2478.8837546219524,25.271172388767283,180.04995468245139,2.604324216134395,4,2
P002,Powertrain,Automotive Component,R03,Asia,Seasonal Naive,2025-07-01,2025-12-01,6,6,41481.0,47447.0,16150.0,61419440.0,5966.0,2691.6666666666665,3199.4645385334925,38.933487620838456,994.3333333333334,14.38248836816856,4,2
P002,Powertrain,Automotive Component,R03,Asia,Naive Forecast,2025-07-01,2025-12-01,6,6,41481.0,41064.0,16169.0,54117163.0,-417.0,2694.8333333333335,3003.2527643651083,38.9792917239218,-69.5,-1.0052795255659217,4,2
P002,Powertrain,Automotive Component,R04,South America,Random Forest,2025-07-01,2025-12-01,6,6,79679.0,85440.8853667835,12348.99257105716,52015347.728332825,5761.885366783512,2058.165428509527,2944.3547037320086,15.498428156800612,960.314227797252,7.231372591000781,4,2
P002,Powertrain,Automotive Component,R04,South America,Seasonal Naive,2025-07-01,2025-12-01,6,6,79679.0,78000.0,22803.0,133617275.0,-1679.0,3800.5,4719.061965405131,28.618582060517827,-279.8333333333333,-2.107205160707338,3,3
P002,Powertrain,Automotive Component,R04,South America,Naive Forecast,2025-07-01,2025-12-01,6,6,79679.0,79988.0,30339.0,195119453.0,309.0,5056.5,5702.622978361215,38.07653208499103,51.5,0.3878060718633517,2,4
P003,Motor Component,EV Component,R01,North America,Seasonal Naive,2025-07-01,2025-12-01,6,6,61226.0,52847.0,15665.0,58217299.0,-8379.0,2610.8333333333335,3114.945130602892,25.585535556789598,-1396.5,-13.685362427726783,2,4
P003,Motor Component,EV Component,R01,North America,Random Forest,2025-07-01,2025-12-01,6,6,61226.0,57296.82002193871,16615.723958556897,68701073.78607467,-3929.1799780612955,2769.2873264261493,3383.8113074380753,27.138346386432065,-654.8633296768826,-6.417502332442583,2,4
P003,Motor Component,EV Component,R01,North America,Naive Forecast,2025-07-01,2025-12-01,6,6,61226.0,60677.0,25501.0,134409897.0,-549.0,4250.166666666667,4733.038083514647,41.65060595171986,-91.5,-0.8966778819455786,3,3
P003,Motor Component,EV Component,R02,Europe,Seasonal Naive,2025-07-01,2025-12-01,6,6,79884.0,70700.0,22846.0,110800030.0,-9184.0,3807.6666666666665,4297.286546958053,28.598968504331282,-1530.6666666666667,-11.496670171749036,2,4
P003,Motor Component,EV Component,R02,Europe,Random Forest,2025-07-01,2025-12-01,6,6,79884.0,77934.61691260511,24715.606899075603,118359602.99298614,-1949.3830873948864,4119.267816512601,4441.463778849381,30.939370711375997,-324.89718123248105,-2.4402672467513975,3,3
P003,Motor Component,EV Component,R02,Europe,Naive Forecast,2025-07-01,2025-12-01,6,6,79884.0,81353.0,35971.0,292353185.0,1469.0,5995.166666666667,6980.367528528375,45.02904211106104,244.83333333333334,1.8389164288217916,2,4
P003,Motor Component,EV Component,R03,Asia,Random Forest,2025-07-01,2025-12-01,6,6,37294.0,42473.30478405401,7633.695589789233,27302935.830172554,5179.304784054013,1272.2825982982056,2133.187592554569,20.468964417303678,863.2174640090021,13.887769571657675,4,2
P003,Motor Component,EV Component,R03,Asia,Naive Forecast,2025-07-01,2025-12-01,6,6,37294.0,37583.0,10809.0,35239483.0,289.0,1801.5,2423.478319826003,28.983214458089773,48.166666666666664,0.7749235802005685,3,3
P003,Motor Component,EV Component,R03,Asia,Seasonal Naive,2025-07-01,2025-12-01,6,6,37294.0,60140.0,27578.0,173845378.0,22846.0,4596.333333333333,5382.771559955584,73.94755188502172,3807.6666666666665,61.25918378291414,5,1
P003,Motor Component,EV Component,R04,South America,Random Forest,2025-07-01,2025-12-01,6,6,118732.0,92346.20998083864,37880.732267746134,425342871.8679988,-26385.790019161355,6313.455377957689,8419.648368231685,31.90440005032016,-4397.631669860226,-22.222981183810056,2,4
P003,Motor Component,EV Component,R04,South America,Naive Forecast,2025-07-01,2025-12-01,6,6,118732.0,129188.0,53668.0,592409648.0,10456.0,8944.666666666666,9936.545744539866,45.20095677660614,1742.6666666666667,8.806387494525486,3,3
