Month,Product_ID,Region_ID,Actual_Demand,Naive_Forecast,Seasonal_Naive_Forecast,Forecast_Demand,Forecast_Error,Absolute_Error,Squared_Error
2025-07-01,P001,R01,3906,6170.0,6193.0,6017.7671340165625,2111.7671340165625,2111.7671340165625,4459560.428312526
2025-07-01,P001,R02,16164,13317.0,13842.0,11063.76110184126,-5100.238898158739,5100.238898158739,26012436.81829147
2025-07-01,P001,R03,1672,6697.0,11627.0,7401.136085079746,5729.136085079746,5729.136085079746,32823000.281362884
2025-07-01,P001,R04,13417,11271.0,8923.0,15253.319605255849,1836.3196052558487,1836.3196052558487,3372069.692646996
2025-07-01,P002,R01,10436,7962.0,8866.0,7285.8752361498955,-3150.1247638501045,3150.1247638501045,9923286.027821677
2025-07-01,P002,R02,7965,6469.0,11351.0,9279.732883257728,1314.7328832577277,1314.7328832577277,1728522.554319178
2025-07-01,P002,R03,6384,7994.0,8810.0,6577.736610759336,193.73661075933614,193.73661075933614,37533.874348514524
2025-07-01,P002,R04,15238,13792.0,13114.0,14226.396361817242,-1011.603638182758,1011.603638182758,1023341.9207845924
2025-07-01,P003,R01,13162,8768.0,12481.0,8125.400018251018,-5036.599981748982,5036.599981748982,25367339.376153845
2025-07-01,P003,R02,14929,12348.0,10329.0,12200.303923266276,-2728.696076733724,2728.696076733724,7445782.279182018
2025-07-01,P003,R03,3146,7295.0,11838.0,8199.234487361016,5053.234487361016,5053.234487361016,25535178.784254752
2025-07-01,P003,R04,31424,22398.0,16523.0,14682.857356782106,-16741.142643217892,16741.142643217892,280265857.00056857
2025-07-01,P004,R01,6644,4848.0,6748.0,5178.524014388389,-1465.4759856116107,1465.4759856116107,2147619.8644043216
2025-07-01,P004,R02,7104,6330.0,7494.0,6447.111279181595,-656.8887208184051,656.8887208184051,431502.79153844056
2025-07-01,P004,R03,3094,10320.0,3051.0,7985.533383028898,4891.533383028898,4891.533383028898,23927098.837286137
2025-07-01,P004,R04,6207,7689.0,15220.0,9780.693297799422,3573.693297799422,3573.693297799422,12771283.786736509
2025-07-01,P005,R01,4284,3889.0,5878.0,6031.698777104359,1747.6987771043587,1747.6987771043587,3054451.015492071
2025-07-01,P005,R02,4475,3126.0,12087.0,6481.357924027359,2006.3579240273593,2006.3579240273593,4025472.119307375
2025-07-01,P005,R03,4545,3895.0,3655.0,4770.146189158067,225.1461891580666,225.1461891580666,50690.806492399905
2025-07-01,P005,R04,14274,13461.0,15752.0,13085.294814545217,-1188.7051854547826,1188.7051854547826,1413020.0179270892
2025-07-01,P006,R01,6950,937.0,4145.0,4790.783136363636,-2159.216863636364,2159.216863636364,4662217.464211657
2025-07-01,P006,R02,10451,15868.0,4020.0,9029.567212972852,-1421.4327870271482,1421.4327870271482,2020471.1680357659
2025-07-01,P006,R03,4357,2708.0,3576.0,5231.651911990789,874.6519119907889,874.6519119907889,765015.9671491428
2025-07-01,P006,R04,3376,15430.0,16025.0,12598.257079628058,9222.257079628058,9222.257079628058,85050025.64274983
2025-07-01,P007,R01,3730,5648.0,6055.0,4375.374610556108,645.3746105561077,645.3746105561077,416508.3879504476
2025-07-01,P007,R02,6336,7455.0,8422.0,8265.21284571582,1929.2128457158196,1929.2128457158196,3721862.204074931
2025-07-01,P007,R03,9510,302.0,8385.0,5051.294119227991,-4458.705880772009,4458.705880772009,19880058.131230894
2025-07-01,P007,R04,9075,8867.0,12455.0,12464.288895812524,3389.288895812524,3389.288895812524,11487279.219278079
2025-07-01,P008,R01,3169,4043.0,10779.0,6573.189887064322,3404.1898870643217,3404.1898870643217,11588508.787191
2025-07-01,P008,R02,10832,8048.0,7534.0,6871.5777282354065,-3960.4222717645935,3960.4222717645935,15684944.570689023
2025-07-01,P008,R03,10127,5557.0,2134.0,7287.105223960013,-2839.894776039987,2839.894776039987,8065002.338979208
2025-07-01,P008,R04,12345,14338.0,16626.0,12863.633385363988,518.633385363988,518.633385363988,268980.58841411094
2025-08-01,P001,R01,13590,3906.0,11369.0,7660.469006281047,-5929.530993718953,5929.530993718953,35159337.80547368
2025-08-01,P001,R02,8341,16164.0,11770.0,11759.942337392471,3418.942337392471,3418.942337392471,11689166.706414694
2025-08-01,P001,R03,15541,1672.0,6123.0,5937.901155464314,-9603.098844535685,9603.098844535685,92219507.41792262
2025-08-01,P001,R04,15289,13417.0,14867.0,13766.15879298904,-1522.8412070109607,1522.8412070109607,2319045.3417705996
2025-08-01,P002,R01,5652,10436.0,6714.0,6263.1275301235155,611.1275301235155,611.1275301235155,373476.85807486833
2025-08-01,P002,R02,11505,7965.0,6654.0,10480.620673201798,-1024.3793267982019,1024.3793267982019,1049353.0051715372
2025-08-01,P002,R03,5717,6384.0,6133.0,6669.004908271691,952.0049082716914,952.0049082716914,906313.3453733916
2025-08-01,P002,R04,6928,15238.0,7445.0,13376.29887349184,6448.29887349184,6448.29887349184,41580558.36187613
2025-08-01,P003,R01,5048,13162.0,7571.0,10529.19662507131,5481.19662507131,5481.19662507131,30043516.44269312
2025-08-01,P003,R02,8786,14929.0,11057.0,11881.549279461025,3095.5492794610254,3095.5492794610254,9582425.341571674
2025-08-01,P003,R03,7063,3146.0,4697.0,6262.142556273333,-800.857443726667,800.857443726667,641372.6451724117
2025-08-01,P003,R04,13825,31424.0,22816.0,15036.879974927862,1211.8799749278623,1211.8799749278623,1468653.0736311562
2025-08-01,P004,R01,5179,6644.0,7324.0,6222.109627580816,1043.1096275808159,1043.1096275808159,1088077.6951517884
2025-08-01,P004,R02,16181,7104.0,9912.0,7286.717672237657,-8894.282327762343,8894.282327762343,79108258.12594552
2025-08-01,P004,R03,4661,3094.0,4468.0,7358.752793858267,2697.752793858267,2697.752793858267,7277870.136770085
2025-08-01,P004,R04,13092,6207.0,11591.0,10434.076865925743,-2657.923134074257,2657.923134074257,7064555.386647122
2025-08-01,P005,R01,12247,4284.0,7231.0,5647.537298354424,-6599.462701645576,6599.462701645576,43552907.950411126
2025-08-01,P005,R02,13253,4475.0,11793.0,6097.676707424517,-7155.323292575483,7155.323292575483,51198651.42127325
2025-08-01,P005,R03,2509,4545.0,10851.0,5610.977685023308,3101.9776850233084,3101.9776850233084,9622265.558382563
2025-08-01,P005,R04,7711,14274.0,10326.0,10949.658622039724,3238.658622039724,3238.658622039724,10488909.670112243
2025-08-01,P006,R01,3649,6950.0,6894.0,5169.240068542569,1520.2400685425691,1520.2400685425691,2311129.866002315
2025-08-01,P006,R02,10946,10451.0,5686.0,9964.257867285489,-981.7421327145112,981.7421327145112,963817.6151468368
2025-08-01,P006,R03,8928,4357.0,8295.0,5104.076393284582,-3823.923606715418,3823.923606715418,14622391.74999545
2025-08-01,P006,R04,5272,3376.0,17535.0,13705.56114806027,8433.56114806027,8433.56114806027,71124953.63807164
2025-08-01,P007,R01,7583,3730.0,4840.0,4700.739050699301,-2882.2609493006994,2882.2609493006994,8307428.179863769
2025-08-01,P007,R02,3641,6336.0,12942.0,9126.354923896488,5485.354923896488,5485.354923896488,30089118.641115446
2025-08-01,P007,R03,1817,9510.0,7622.0,4447.205482309358,2630.2054823093576,2630.2054823093576,6917980.879170201
2025-08-01,P007,R04,9809,9075.0,8995.0,14150.199875776998,4341.199875776998,4341.199875776998,18846016.361446224
2025-08-01,P008,R01,3893,3169.0,4764.0,5316.005014083141,1423.0050140831408,1423.0050140831408,2024943.2701057598
2025-08-01,P008,R02,11121,10832.0,16629.0,7536.817319277949,-3584.1826807220514,3584.1826807220514,12846365.48878791
2025-08-01,P008,R03,6378,10127.0,4749.0,6691.642596447754,313.64259644775393,313.64259644775393,98371.67830648863
2025-08-01,P008,R04,15982,12345.0,9320.0,13591.602021824752,-2390.3979781752478,2390.3979781752478,5714002.494064312
